brand,detailurl,factory,imgname,modelname,price,CA,asthma,atopy,allergy,CADR,anion,compound,filter,varietyfilter,HEPA,PM,peoung,size
하이얼,http://www.enuri.com/detail.jsp?modelno=15333918&cate=240616,하이얼,http://photo3.enuri.com/data/images/service/img_300/15333000/15333918.jpg,HAP15MW,70880,,,,,,,복합식,,항균필터,FALSE,,4.5,13.5 x 20.6 x 10.1cm
다이슨,http://www.enuri.com/detail.jsp?modelno=15380358&cate=240616,다이슨,http://photo3.enuri.com/data/images/service/img_300/15380000/15380358.jpg,퓨어 핫앤쿨 링크(HP-02),720300,,,,,,,,필터식,"활성탄필터,    HEPA필터",TRUE,,,26.1 x 69.4 x 26.4cm
쿠쿠,http://www.enuri.com/detail.jsp?modelno=23943570&cate=240616,쿠쿠,http://photo3.enuri.com/data/images/service/img_300/14902000/14902345.jpg,AC-12Y10FW,20900,CA인증,,,,,,복합식,,"프리필터 ,    탈취필터 ,    HEPA필터",TRUE,,12.4,45.2 x 63 x 23.6cm
쿠쿠,http://www.enuri.com/detail.jsp?modelno=14562584&cate=240616,쿠쿠,http://photo3.enuri.com/data/images/service/img_300/14562000/14562584.jpg,AC-12ZD30FW,198290,CA인증,,,,,,복합식,,"프리필터 ,알레르겐필터,유해가스안심필터,    탈취필터 ,    HEPA필터",TRUE,,11.5,47 x 61 x 25cm
카도,http://www.enuri.com/detail.jsp?modelno=11907264&cate=240616,카도,http://photo3.enuri.com/data/images/service/img_300/11907000/11907264.jpg,AP-C100,526510,,,,,,,,필터식,HEPA필터,TRUE,,5.4,24.2 x 30.8 x 24.2cm
에이티앤에스그룹,http://www.enuri.com/detail.jsp?modelno=10922391&cate=240616,에이티앤에스그룹,http://photo3.enuri.com/data/images/service/img_300/10922000/10922391.jpg,클레어 윈드 TD-1866,169880,,,,,,,,필터식,e2f정전기필터,FALSE,,,23.6 x 31.1 x 25.7cm
알로,http://www.enuri.com/detail.jsp?modelno=26141167&cate=240616,알로,http://photo3.enuri.com/data/images/service/big/26141000/26141167.jpg,A5,49000,,,,,,음이온식,,,,FALSE,,,6.5 x 15cm
웰스,http://www.enuri.com/detail.jsp?modelno=24036597&cate=240616,웰스,http://photo3.enuri.com/data/images/service/img_300/24036000/24036597.jpg,KW-A08W1,19900,,,,,,,,,"프리필터 ,알레르겐필터,    탈취필터 ,    HEPA필터",TRUE,,6.2,35 x 56 x 19.4cm
쿠쿠,http://www.enuri.com/detail.jsp?modelno=23942940&cate=240616,쿠쿠,http://photo3.enuri.com/data/images/service/img_300/22842000/22842672.jpg,AC-12ZD10FW,18900,CA인증,,,,,,복합식,,"프리필터 ,    탈취필터 ,안심HEPA필터",TRUE,,11.5,43 x 55 x 27.6cm
하이드로마,http://www.enuri.com/detail.jsp?modelno=22794892&cate=240616,하이드로마,http://image.enuri.gscdn.com/webimage_300/2963500000/2963580000/2963583554.jpg,마이그린에어 미니스퀘어,264780,,,,,,,복합식,,HEPA필터,TRUE,,1.5,17 x 20.5 x 17 cm
베비즈,http://www.enuri.com/detail.jsp?modelno=20046899&cate=240616,베비즈,http://image.enuri.gscdn.com/webimage_300/3248700000/3248710000/3248719505.jpg,스마트 미니 공기청정기,126390,,,,,,,복합식,,"프리필터 ,탄소필터,활성탄필터,    HEPA필터",TRUE,,6.9,17 x 5 x 17cm
대우글로벌,http://www.enuri.com/detail.jsp?modelno=18013946&cate=240616,대우글로벌,http://image.enuri.gscdn.com/webimage_300/2820100000/2820130000/2820139685.jpg,그린루프트 DGP-7500,814160,,,,,CADR,,복합식,,"프리필터 ,카본필터,탄소필터,    HEPA필터",TRUE,,12.7,44 x 68.2 x 18cm
오에이치코리아,http://www.enuri.com/detail.jsp?modelno=14564363&cate=240616,오에이치코리아,http://photo3.enuri.com/data/images/service/img_300/14564000/14564363.jpg,에어백신 015,413150,,,,,,,,,,FALSE,,36.3,34.2 x 24.1 x 14.6cm
다이슨,http://www.enuri.com/detail.jsp?modelno=13734125&cate=240616,다이슨,http://photo3.enuri.com/data/images/service/img_300/13734000/13734125.jpg,퓨어쿨 링크(DP-01),565200,,,,,,,,필터식,"활성탄필터,    HEPA필터",TRUE,,,35.5 x 61.6 x 22cm
